Factor,Aerospace and Defense,Airlines,Aluminum Steel,Apparel and Textiles,Automobiles and Components,Banks,Beta,Beverages Tobacco,Biotechnology Life Sciences,Building Products,Carbon Efficiency,Chemicals,Construction and Engineering,Construction and Farm Machinery,Construction Materials Paper and Forest Product,Communications Equipment,Computers Electronics,Commercial and Professional Services,Industrial Conglomerates,Containers and Packaging,Country,Distributors Multiline Retail,Diversified Financials,Dividend Yield,Earnings Quality,Earnings Variability,Earnings Yield,Electrical Equipment,Electric Utilities,Energy Equipment & Services,ESG,Food Products,Food and Staples Retailing,Gas Utilities,Growth,Health Care Equipment and Technology,Health Care Providers (non-HMO),Homebuilding,Household Durables (non-Homebuilding),Industrial Machinery,Insurance Brokers and Reinsurance,Internet Software and IT Services,Investment Quality,Leisure Products Textiles Apparel and Luxury,Hotels Leisure and Consumer Services,Leverage,Life Health and Multi-line Insurance,Liquidity,Long-Term Reversal,Media,Managed Health Care,Mid Capitalization,Momentum,Multi-Utilities Water Utilities Power,Oil Gas and Consumable Fuels,Oil and Gas Exploration and Production,Pharmaceuticals,Precious Metals Gold Mining,Profitability,Household and Personal Products,Real Estate,Restaurants,Residual Volatility,Real Estate Management,Road and Rail,Semiconductors,Semiconductor Equipment,Short Interest,Size,Software,Specialty Retail,Specialty Chemicals,Specialty Stores,Telecommunication Services,Trading Companies and Distributors,Transportation Air Freight and Marine,Value
Short Interest,-2.27289621,0.123851445,1.52099144,-1.80661222,3.34425708,4.5158097,0.94383277,0.0635367209,-0.225789722,3.5926865,-0.234819078,2.25297129,1.56522806,4.73647268,2.70372878,0.756238992,2.74486053,1.78081676,-0.179660792,1.77501175,1.8567241,0.943289223,1.64384237,0.432631066,0.3064521,-0.355022294,-0.581861992,5.33622562,1.21757864,-2.45423425,0.0781210372,0.233686802,1.99535951,0.918379471,-0.536075809,-3.0440426,1.78630383,6.25996061,0.462492691,2.26286981,0.0848340687,-4.41768579,0.49571958,-0.379858637,-3.97365831,-0.762031532,-0.488202182,0.169882491,0.575722636,-0.778566911,-0.290741022,-0.471426619,-3.28660286,2.04573447,-3.54617059,-3.31411377,-0.190122812,0.089385698,0.451022294,-1.11710143,2.02634743,-1.84445361,1.41580478,6.67510631,2.71738332,1.01349011,0.0656777563,5.31072154,0.0950999635,-3.09743732,4.52691706,2.76908473,-0.819385699,3.1354618,2.38000401,3.48915941,0.100951723
Size,-3.16171035,1.08960756,-4.89919939,-2.68351884,-3.24004947,-7.70175375,-6.56901382,1.36153708,-1.92964155,-6.00354504,0.405015824,-0.186552374,-3.6387997,-4.23250976,-2.96131921,2.06033089,1.3657503,-1.02610503,-0.389500517,4.20641019,-5.90065372,0.586114046,-1.13634791,-0.859084816,0.0526927958,0.48339082,-0.569597325,-4.15786888,5.98437573,-3.64418825,-0.244540895,6.35922331,0.267608301,6.25355292,-0.207313909,0.88315506,-1.62662645,-10.7395479,-3.30377336,-3.84551438,3.43789416,0.542940134,0.21321611,-1.95275156,-2.20179101,-0.392843226,0.307492099,1.44513809,-0.207008788,-1.44656956,-4.02975399,-0.0323670083,1.66039365,6.51372355,-1.53329726,-1.01772087,0.00631769328,4.11979374,1.38569564,4.51806522,2.68065857,-0.466498899,-4.62068457,-5.64544824,-3.90742,4.39798388,4.03765475,0.0950999635,9.23465745,1.49527333,-7.16771717,0.199791088,-3.04490191,1.93842876,-7.62168761,-1.5730646,-0.332849887
Software,-8.32663052,-12.0842196,-38.2248359,-33.4462768,-30.941507,-22.1227421,4.53782101,-12.0287633,-18.2532784,-37.5894326,5.46220123,-30.9081607,-40.221627,-38.8170326,-34.9406023,23.9342604,6.1985361,-6.14153842,-13.4726489,-19.4591623,7.72991929,-20.4875043,-6.16707624,-1.85149801,1.10478876,0.816730075,-1.90069937,-37.7339613,-15.8292848,-55.7871289,-0.970145334,-9.41597416,-17.8491479,-6.86615132,3.81472601,2.99910786,-18.0475083,-36.4025952,-7.58452722,-27.9483058,-13.8424447,48.0280775,-4.06584992,-20.391482,-4.548785,-4.15734994,-15.2071179,4.15319116,-4.25663006,-0.510956919,-15.5409426,1.87001542,9.4014994,-31.6506936,-13.3382317,-45.9838155,-18.737133,-46.7433815,0.864207742,-7.27280936,-12.1944559,-12.9666966,6.5777515,3.37571005,-23.0283348,-6.15437504,-5.30719939,-3.09743732,1.49527333,108.807764,-25.6301863,-31.0665325,-33.8752066,-9.12316067,-28.1702681,-18.6282926,-3.19699372
Specialty Retail,-6.09954997,16.4955143,-15.0466146,93.1973475,26.7830318,0.79370128,9.50085032,11.0755975,-1.63952244,70.5485953,-1.19547987,-3.5890894,16.2912786,22.8966827,38.2206328,-18.2408161,-10.6574864,11.4039608,2.06717889,0.211942499,6.83645337,62.3140601,9.74963082,2.8925818,-0.409161585,-1.85263527,0.900332546,12.8681709,0.0998591088,-49.2083815,0.401899222,4.53456467,27.2071234,-10.2449249,-3.48659612,-11.1097671,12.611224,136.584358,73.82829,25.0977852,4.87550397,-22.3396427,0.15566669,58.8852795,12.7392614,1.27921657,8.87325652,1.04361933,2.01720953,-6.12402816,4.82481159,1.01885482,-9.18508955,0.657965156,-27.6063843,-45.7919378,-10.4985258,-47.4544664,-1.15881715,12.6734205,11.3533043,37.8685343,4.97239299,46.4155605,28.8645557,-39.4521145,-38.0375391,4.52691706,-7.16771717,-25.6301863,188.605122,9.67444535,100.240385,-4.53619685,37.6740308,19.809006,0.141978686
Specialty Chemicals,-0.784549131,21.8556933,55.0271334,5.64158501,34.8466219,8.62350228,7.60238087,6.69834153,-8.29118723,40.7388735,-6.81936886,62.8589886,39.2837499,46.4407955,44.3777727,-16.3680261,5.85566584,9.04130905,20.7792091,51.6723222,14.4563761,2.22264315,7.62979603,1.32144955,-0.625150615,0.805193365,3.40031237,53.6591039,-5.08141439,28.6941627,0.299366302,-4.40900388,-2.43572258,-9.62110086,-3.81542058,-19.6096096,-9.8987938,18.092966,12.6899426,43.5752093,1.43692593,-22.2997791,3.55136385,18.578208,4.05589629,1.22871587,5.80269233,-2.35810463,3.13730517,-17.1349459,-8.45344812,-0.122229125,-9.65753311,10.2477347,-2.92108623,17.7857139,-5.39661058,49.3807715,-2.05905531,3.43591289,-10.5863532,-8.11380134,0.483650118,-5.51052134,15.4541724,12.6636136,27.5039003,2.76908473,0.199791088,-31.0665325,9.67444535,161.703203,17.2071038,-24.1885295,35.5388299,28.8991481,2.7586337
Specialty Stores,3.04201453,33.3424218,15.0017824,184.667706,8.93167504,-20.3279981,-3.47320901,11.7871241,-6.81301804,54.5282997,-5.3716078,-0.0578553007,21.4705209,9.24189151,26.8259715,-24.6670664,-30.2282969,8.91677974,4.02379229,15.2133581,-11.7505173,113.763406,0.793819949,3.93701125,-0.763956956,0.145408022,1.56551631,5.53271343,-12.0135281,-39.8603504,0.304201497,9.26055725,57.5219861,-17.6209193,-1.14516567,1.4540614,16.8009036,88.6247792,68.5050669,20.3738862,7.44819589,-24.7877396,1.17390726,131.734103,28.7320656,3.64964514,5.21440747,-0.990270748,4.14166475,6.35661915,3.42741613,-1.08827704,-6.98944478,-9.3314787,-26.0240572,-24.8609829,-8.25164861,-7.49550124,-2.05116515,22.9189705,4.84125352,70.218691,-1.31438086,-7.46383631,21.1021012,-39.5005819,-53.3318919,-0.819385699,-3.04490191,-33.8752066,100.240385,17.2071038,333.868413,8.12857928,24.9141254,15.4289396,2.18722989
Telecommunication Services,5.77016809,-6.89760652,4.07353809,10.7879318,-17.0858913,-20.41848,-20.7748995,17.9736175,11.642699,-28.8443986,1.84337293,-10.4673521,-7.24044414,-22.4171038,-20.2931394,21.6464953,-32.0484653,3.16951289,10.3077094,4.43762855,-46.5102022,16.8855984,-6.71252522,-1.51002559,-1.38076955,-2.30623881,-4.13713752,-13.8963154,39.2155046,-41.8192761,1.53368481,33.2523996,21.3088589,26.3368515,1.12877292,9.71549348,20.362348,-14.8810297,4.02552539,-24.1051156,15.5731583,-9.52049371,-0.583903491,2.50962653,-13.0613647,-1.37746016,6.34205913,-1.09966632,0.875136458,41.1729316,18.8432806,-0.0628892207,-0.75788421,40.5387221,-0.358811468,-21.1707189,18.8385556,3.18920645,2.35152089,17.9081477,23.6747993,17.2634641,-4.9156818,-10.2346294,-11.373448,-42.1559901,-59.1571155,3.1354618,1.93842876,-9.12316067,-4.53619685,-24.1885295,8.12857928,229.943442,-23.8019843,-2.56119372,-2.06229493
Trading Companies and Distributors,24.3360855,13.6354606,73.1683951,17.0015492,25.0272496,42.7391525,18.3741294,-8.15222735,-19.328274,78.2400703,-8.61782962,44.8850346,71.245678,98.0110999,72.6903671,-24.0450702,-11.5560062,18.2634736,17.6400811,15.7285906,29.1285014,5.93698876,22.7844806,1.25194452,0.530827454,-0.00171637954,4.87156265,72.1626057,-23.1022447,114.661697,1.06539016,-14.9680533,-2.29317438,-26.0820359,-3.65717517,-33.6632048,-7.03548022,62.5605797,10.0827743,73.7074685,7.56267347,-31.6451039,2.9222245,4.49365081,17.7959661,3.54483946,18.8115793,-3.34757341,2.88741983,-15.1770249,-12.8373393,-0.927049255,-6.80363936,-21.3853902,35.7515677,54.2627862,-22.1611926,17.5872679,-2.06601599,-14.6803165,-14.9811188,-0.558873895,0.803172237,13.2438062,54.9152872,-18.4118442,-26.6032351,2.38000401,-7.62168761,-28.1702681,37.6740308,35.5388299,24.9141254,-23.8019843,171.360215,34.3259027,4.94127934
Transportation Air Freight and Marine,-8.74671001,34.307306,33.8359619,4.64700161,29.8155675,34.9853473,4.45359016,3.36458549,-12.8302889,23.5328335,-3.33571052,25.490911,14.5317989,36.6627875,19.7019102,-13.4354403,-7.94300825,1.27249328,24.9122437,35.4008956,-1.92273867,8.65934059,6.86572644,0.428573822,0.694860715,-0.935738468,4.47265348,28.4780144,-20.7021093,16.3126503,0.141115414,1.4076681,6.76978623,0.729127931,-1.64531133,-12.5993067,-8.52793521,9.32455636,17.4378788,25.6661628,-0.871903531,-19.6517181,3.71641644,16.6362654,11.4437423,-1.08022349,6.13449217,-4.28637329,3.27188081,-5.57216279,-10.6399036,0.659707421,-11.7090465,-16.1552473,-10.71504,1.63457619,-16.2128955,-3.44958734,-0.461017115,5.8076663,-8.97555768,6.04081997,-1.29793335,-17.2597042,82.108367,12.2073476,-9.98449382,3.48915941,-1.5730646,-18.6282926,19.809006,28.8991481,15.4289396,-2.56119372,34.3259027,245.493719,1.5644037
Value,3.39079835,4.07051999,4.75457521,4.26051376,3.25177287,6.26369076,1.90740257,0.241155431,-2.20005243,3.46854031,-1.01159216,3.88760283,2.43364736,5.18623029,3.61399244,-3.64464622,-2.7824512,0.856757111,2.25210573,1.21479384,4.87101532,0.523938526,1.97206406,0.531293175,-0.200829221,-0.58558246,1.08153631,4.92877168,-4.33339247,15.2839735,0.113654491,-3.0814672,-3.69543991,-2.62440158,0.0646504475,-2.95209819,-1.81669642,0.460871421,1.03243698,4.28634899,-0.0123913304,-1.40107514,0.960196443,2.49785387,3.60493003,2.37498309,1.68163376,-0.546895756,0.112913272,1.74567474,-0.505288213,0.253420996,-2.13849157,-2.06536089,7.01556988,8.90739874,-1.59316296,3.80155899,0.61456688,-0.317892667,-0.234881151,-0.792802497,-0.346534881,2.75551077,2.78054069,-1.62584033,-0.211819202,0.100951723,-0.332849887,-3.19699372,0.141978686,2.7586337,2.18722989,-2.06229493,4.94127934,1.5644037,4.65698239
